account_id,type_id,status_id,customer_id,branch_id,account_number,balance,date_opened,date_closed
47,5,2,1084,2,GB17VTVB13403380987139,22135.94,2019-12-01,NULL
48,5,1,977,9,GB44HYBB98265222490427,48021.25,2023-04-18,NULL
49,5,3,1117,8,GB56SLIH73555667885706,32430.81,2021-02-15,NULL
50,5,1,924,1,GB98PDIC58324852401651,39296.83,2016-01-02,NULL
51,1,3,344,12,GB31LLZV15110175392482,22208.64,2016-12-02,NULL
52,1,1,868,12,GB93DIGA26358287260767,36125.26,2016-11-05,NULL
53,5,3,636,7,GB94GMIL42826462067795,34478.89,2023-02-02,NULL
54,5,2,5,12,GB18UBOY78037063250037,45649.47,2022-04-04,NULL
55,1,1,323,3,GB91KRJQ19610477225321,23789.92,2021-01-10,NULL
56,1,2,1180,12,GB41SSKZ08151810867815,18824.17,2020-11-01,NULL
57,2,2,774,4,GB11NOBG82102532995714,36226.54,2018-05-19,NULL
58,5,2,589,1,GB62JBWF11666372300034,23886.92,2017-11-07,NULL
59,2,1,555,12,GB86RGTS31855995436007,49557.97,2022-05-14,NULL
60,5,2,1137,4,GB44VXUI04665857054403,38965.69,2016-02-10,NULL
61,2,3,1039,2,GB12QJRT46109401992453,17354.73,2020-05-31,NULL
62,2,3,250,3,GB33ZLBK93671070731383,47827.49,2022-12-04,NULL
63,1,2,375,5,GB75SWTM48933690218502,37745.72,2024-09-14,NULL
64,4,2,792,3,GB80LCTA07583540052614,21607.53,2023-01-31,NULL
65,4,1,971,1,GB10IVPE47506422768707,3320.23,2023-09-16,NULL
66,5,2,765,1,GB49LVCK36187360389173,32317.29,2023-05-13,NULL
67,1,3,740,5,GB74VLLS00789195153110,29546.18,2016-08-23,NULL
68,2,3,875,11,GB36TSKM99433352076781,37467.68,2025-05-31,NULL
69,5,3,684,5,GB90ZBTZ86292619615229,14295.47,2019-07-20,NULL
70,3,1,136,5,GB08XFYV51699747696010,22621.6,2016-09-20,NULL
71,2,2,137,8,GB10KIHB52911183255011,38496.77,2018-09-13,NULL
72,4,3,105,9,GB56KAQH39168166130816,22978.46,2020-03-15,NULL
73,2,3,682,3,GB95GVEW00963054914731,22645.06,2016-12-22,NULL
74,4,1,457,8,GB30LREW54154866504972,21462.78,2020-02-25,NULL
75,4,3,791,5,GB04KBKB98273351094454,49378.54,2018-09-30,NULL
76,3,1,447,1,GB13BDWZ31379831387710,32161.87,2016-11-06,NULL
77,1,3,1196,3,GB63PYCP92008584763053,22735.81,2016-01-13,NULL
78,4,2,1118,2,GB67EZGV25981947307660,21122.53,2025-05-24,NULL
79,3,1,312,5,GB30ZBHM51104868953423,13669.73,2023-08-20,NULL
80,3,3,777,3,GB50OFRN82982413389647,34694.32,2024-12-31,NULL
81,2,3,730,1,GB20NXFE52268262503346,21339.33,2017-11-20,NULL
82,2,1,311,9,GB98PALM22051231536236,19578.89,2020-12-28,NULL
83,1,3,1014,7,GB18IVFU30663793248848,14336.62,2020-12-20,NULL
84,1,2,933,11,GB57PTTN53911990959139,14533.21,2023-04-22,NULL
85,5,3,221,4,GB25ZRYK54449627640121,18621.85,2015-09-12,NULL
86,2,2,396,8,GB74VVNU87383575629491,49698.98,2023-02-07,NULL
87,5,1,723,12,GB86KPPV75662364762755,7368.48,2017-08-07,NULL
88,2,2,865,1,GB78ESLF87249199163397,25500.93,2019-06-09,NULL
89,1,2,973,10,GB63URUG62481760791062,41099.72,2019-06-02,NULL
90,2,2,1022,7,GB67OEAT07688017423334,44863.13,2016-09-21,NULL
91,5,2,127,11,GB53ZCDE38078730545438,24169.38,2025-08-01,NULL
92,5,1,860,7,GB23NLBW79368567483685,31556.19,2021-12-17,NULL
93,1,2,769,3,GB64BVOU20520782355191,47880.43,2020-09-20,NULL
94,4,2,1192,7,GB44KDKD81654716592963,30940.89,2020-04-02,NULL
95,3,2,585,9,GB63VBSG34404434824951,4562.1,2020-08-19,NULL
96,4,1,392,3,GB73SJJE36492232640385,43054.89,2019-08-04,NULL
97,5,1,580,9,GB26LTQL40030012871403,37557.06,2018-04-04,NULL
98,4,2,215,4,GB41FXSY13231777222784,10074.26,2016-10-21,NULL
99,3,2,417,2,GB60JULC13514958342786,18942.2,2019-09-07,NULL
100,2,2,373,3,GB20XLEQ14011284554767,13130.67,2015-12-14,NULL
101,5,3,1082,6,GB16EAWP54697296265005,30010.64,2019-07-31,NULL
102,3,1,213,12,GB68KNFW03163775639336,35076.29,2020-08-22,NULL
103,2,2,1156,6,GB06RWPF59016480795957,8129.19,2016-02-11,NULL
104,5,2,546,2,GB17SVFB72444872720769,30786.53,2024-11-12,NULL
105,5,2,165,8,GB73XEVS42079056643796,17729.62,2022-07-22,NULL
106,4,1,524,10,GB30VCAA68767709354664,39576.94,2018-05-18,NULL
107,3,3,478,1,GB43JISP98087473041741,2026.51,2019-11-14,NULL
108,4,1,413,8,GB95YYGG00303814083922,41858.68,2018-10-14,NULL
109,1,3,201,4,GB91JMMT38166665006420,28462.06,2023-12-27,NULL
110,1,1,16,12,GB37EUBF07017691380267,21806.23,2015-11-27,NULL
111,5,3,828,3,GB74GUPY26989023204284,28894.45,2016-07-23,NULL
112,2,2,478,7,GB78DLET08043789709672,46037.68,2024-01-20,NULL
113,4,3,792,10,GB17JXYZ73031745228327,29810.37,2019-03-28,NULL
114,1,1,90,3,GB47LWFO08208889671460,9661.4,2021-02-10,NULL
115,3,3,1159,1,GB54ADYN64398209344243,21527.74,2017-09-19,NULL
116,1,1,381,3,GB57NSRW33291441677376,24649.36,2023-03-28,NULL
117,5,1,875,6,GB51GQOZ58444511654241,46861.82,2020-05-27,NULL
118,1,2,175,6,GB50IXQT31247632338462,18367.89,2019-01-11,NULL
119,2,1,231,2,GB39NWYR04050974899893,38107.37,2022-04-09,NULL
120,4,1,261,6,GB55ZSHX02069786892420,44337.76,2021-06-07,NULL
121,5,2,1065,12,GB88KUUQ62634667192371,9771.44,2016-04-06,NULL
122,4,3,8,9,GB22YKDH87239872318100,39588.31,2016-09-13,NULL
123,2,3,1151,11,GB49APMF30391114983122,44359.83,2025-07-31,NULL
124,5,1,1005,9,GB09VOHH03019380171999,5779.77,2022-05-04,NULL
125,2,1,399,7,GB35ROYM15333823098767,19487.31,2018-05-16,NULL
126,5,1,755,5,GB66VKXF62690925781804,13614.21,2020-05-06,NULL
127,5,2,819,4,GB28HHHI52905332720285,47319.44,2016-07-22,NULL
128,5,2,330,2,GB58MFWT15014317230480,24499.47,2018-06-24,NULL
129,5,3,875,12,GB73NWAJ84119396491316,15505.96,2023-09-28,NULL
130,4,3,176,8,GB35SGOA10649169635409,24181.43,2019-03-11,NULL
131,2,3,839,11,GB82KHUL81155836905596,43757.47,2021-06-26,NULL
132,5,1,879,10,GB04DRCF29478447422557,16502.8,2022-11-02,NULL
133,2,1,312,1,GB24JJFR08448336658061,12579.81,2019-10-15,NULL
134,2,1,857,1,GB97KUCJ18109535575337,24232.67,2024-09-24,NULL
135,5,2,362,3,GB50ROBL65627234966683,49527.96,2021-09-19,NULL
136,1,1,351,2,GB78KOBF80132474688421,25055.11,2017-01-05,NULL
137,3,1,15,7,GB40GKLE57836688028279,44011.25,2018-05-18,NULL
138,5,2,93,7,GB48UGBQ29273313351060,26260.75,2017-03-17,NULL
139,1,1,594,4,GB10YALQ12104059151905,43709.98,2024-10-15,NULL
140,4,2,173,2,GB35BSCE04863897282398,44719.41,2023-06-09,NULL
141,1,1,1163,1,GB88BLRT01408026583901,42126.19,2025-02-20,NULL
142,4,3,322,2,GB04CNKY36586132800386,49009.6,2024-01-01,NULL
143,3,1,722,1,GB36LAVY41408801336026,32549.99,2017-08-12,NULL
144,5,3,588,2,GB14EKVE57840202543913,39341.21,2018-04-08,NULL
145,1,2,587,8,GB37BPBL26201126904993,30831.98,2025-04-02,NULL
146,3,3,774,12,GB05FAPF86612808024252,12314.65,2021-08-31,NULL
147,1,3,797,2,GB06ALFE68183523076574,4452.39,2022-03-24,NULL
148,1,3,76,2,GB52RJDK58885255763450,18960.07,2020-10-03,NULL
149,2,3,638,6,GB90XBQA67781964801318,33800.29,2021-10-02,NULL
150,1,1,808,7,GB64WIFW05200430433728,37006.75,2020-08-29,NULL
151,1,3,168,1,GB72PSTA19652066410288,45213.77,2015-10-29,NULL
152,3,2,633,11,GB07OROR20443717733703,3172.72,2024-02-17,NULL
153,1,1,474,6,GB47OMVU52807039091630,8560.97,2018-03-27,NULL
154,1,2,37,2,GB10MQQX87910563093110,29785.74,2019-02-24,NULL
155,5,3,59,12,GB68VCLW98094827774042,36444.97,2019-04-22,NULL
156,4,1,1067,8,GB90CCOW60302265272592,13642.91,2024-11-24,NULL
157,1,2,398,4,GB80WOKA04316304664421,16275.51,2022-01-23,NULL
158,1,1,313,9,GB48VCQW28974247604155,26118.88,2017-10-21,NULL
159,5,3,718,8,GB65KHXR45917005593424,3928.93,2020-05-24,NULL
160,1,1,685,10,GB50AYSZ43404700185920,22626.38,2023-05-22,NULL
161,4,3,701,8,GB97HZAH24083408782957,47060.5,2017-07-27,NULL
162,1,2,1177,3,GB65AYKX93686731648530,17297.9,2024-05-20,NULL
163,1,1,631,9,GB15QZWF94855135518611,25129.16,2024-01-24,NULL
164,3,1,416,8,GB51MHQH13488469198706,41234.61,2016-10-05,NULL
165,5,1,152,1,GB33YRAO05933709212953,39141.41,2021-06-26,NULL
166,1,2,18,4,GB78NKBY99305076786234,34057.36,2017-11-09,NULL
167,2,1,581,11,GB31HOMX22635210709294,38494.64,2023-10-28,NULL
168,4,1,371,2,GB47YBGX70666592835497,10105.29,2015-11-11,NULL
169,1,1,116,3,GB94ZWEY00054307039895,47394.4,2018-08-10,NULL
170,4,2,611,6,GB71VGAV28037009045388,21113.52,2022-10-26,NULL
171,5,3,485,8,GB30KNNN55390730279467,3647.73,2020-05-23,NULL
172,1,2,301,10,GB88OKIU72458069515346,29351.53,2024-08-10,NULL
173,5,1,1181,9,GB31QHHN36470777805237,30878.64,2016-10-02,NULL
174,4,2,1121,9,GB30BKEB77005034582609,42585.72,2019-07-28,NULL
175,1,1,466,11,GB38EFXM27198714815170,28031.88,2020-08-18,NULL
176,3,2,1057,10,GB19CMOG15950026556058,1089.69,2015-11-27,NULL
177,5,2,221,3,GB07JPDX68520880171224,20653.79,2016-09-08,NULL
178,5,3,564,9,GB63JAFU33736352320316,13569.98,2024-01-19,NULL
179,1,1,1077,6,GB48MXIT63447221351875,47596.84,2018-05-10,NULL
180,4,2,1170,1,GB54OFOF44326333857317,8016.2,2022-05-04,NULL
181,2,1,1015,11,GB40WLFJ16280559993242,39873.35,2022-03-07,NULL
182,2,3,327,3,GB70SRNW39192242267677,4873.37,2021-03-20,NULL
183,4,3,740,7,GB61CWVC74412245670901,35581.85,2021-12-20,NULL
184,4,3,1198,10,GB68GJFM07013216800187,21331.49,2016-07-31,NULL
185,3,1,471,12,GB38DELZ54749753633327,5920.5,2018-06-18,NULL
186,5,1,129,7,GB37NASK09543934184127,48842.0,2018-07-19,NULL
187,4,1,474,6,GB11VOSF68000228398509,5553.15,2017-09-16,NULL
188,1,2,350,2,GB20KXIS32574650429504,5610.42,2019-11-06,NULL
189,1,1,506,1,GB32BUHS75788077578133,8900.5,2020-07-06,NULL
190,3,1,809,7,GB80VWFN51949633429955,24188.2,2022-05-08,NULL
191,1,2,1072,6,GB09YCSL50976430939167,44013.13,2018-12-17,NULL
192,3,3,354,1,GB85JVUG87423574857870,28664.91,2021-09-29,NULL
193,2,3,1056,6,GB55COBS32927618412086,40191.78,2017-11-23,NULL
194,4,2,204,2,GB56ONVI25050307892426,29742.58,2018-10-10,NULL
195,5,1,110,7,GB16YQLP73834451765558,48185.37,2016-03-08,NULL
196,5,3,356,2,GB37QZZV27209488606878,42111.59,2022-10-17,NULL
197,2,1,978,4,GB24HTWS66117972870589,22361.21,2019-08-07,NULL
198,5,3,925,1,GB65DGTL26742557625192,1836.98,2020-09-30,NULL
199,3,2,1101,9,GB63ZQMC92075113784407,12676.24,2024-07-20,NULL
200,4,2,1083,2,GB38FZMR67135146303278,31324.27,2023-11-14,NULL
201,5,3,909,8,GB08LJWM74253917492088,27623.88,2023-06-12,NULL
202,1,3,681,2,GB50TQQZ02404196744518,4318.13,2024-09-07,NULL
203,5,1,283,2,GB84QMKE56695969970036,14863.99,2022-05-26,NULL
204,5,2,515,5,GB68FIEB05498335716401,43344.14,2016-08-27,NULL
205,2,1,348,9,GB58SCUB58924490624500,10749.27,2017-05-06,NULL
206,4,2,1018,7,GB32NFPJ61296890574244,48285.0,2019-01-15,NULL
207,1,1,1156,12,GB59LWRH34498992053493,38229.8,2017-04-11,NULL
208,1,3,341,9,GB53UCZM05127580737393,1855.09,2016-01-19,NULL
209,5,1,338,6,GB61TRAM12063141070276,40744.63,2024-08-30,NULL
210,3,1,1065,2,GB07JRPZ76617938387450,20702.13,2020-09-03,NULL
211,3,3,570,10,GB48COQR25117340192494,4326.41,2023-04-08,NULL
212,1,2,426,4,GB07ZDAN12581162473931,1568.78,2018-12-07,NULL
213,5,2,115,7,GB39GQUO79445991290066,26031.12,2023-02-26,NULL
214,1,3,219,11,GB27IONM06905198392619,21788.97,2024-05-14,NULL
215,2,2,870,11,GB36SKBM00404707667242,45529.92,2022-03-19,NULL
216,3,2,146,2,GB72GIGJ41681116747937,34222.95,2019-06-24,NULL
217,1,3,864,12,GB87AWMQ79184744891792,22428.98,2016-01-13,NULL
218,5,2,647,4,GB24KWHN64142079770111,35512.99,2018-04-03,NULL
219,1,3,1131,7,GB30YWRV78095942432515,29719.2,2015-12-05,NULL
220,5,1,575,3,GB23THUA01181933134864,33393.26,2025-01-23,NULL
221,5,2,289,9,GB79TYDV20338428816109,12248.47,2016-05-22,NULL
222,1,1,260,12,GB54KFBA57543502929509,23904.24,2017-10-23,NULL
223,4,3,958,6,GB65VQLY07808207559559,46143.85,2019-06-16,NULL
224,2,3,978,11,GB48ZPDM50613547180510,17949.71,2020-07-20,NULL
225,1,1,28,8,GB89RJQZ71458214661698,19782.04,2021-08-24,NULL
226,2,3,96,8,GB06XYOO63753122440901,46373.53,2018-09-03,NULL
227,2,3,518,1,GB56ZFWL65569267273991,22150.39,2017-09-09,NULL
228,1,1,88,1,GB16XVZH41066425453074,38426.84,2021-02-06,NULL
229,5,1,786,10,GB56TBQS86681070384275,9481.1,2018-01-21,NULL
230,4,2,580,10,GB92TLJC30057397198707,41200.37,2015-12-17,NULL
231,3,1,585,12,GB36CLMD29622632007402,23148.53,2023-06-28,NULL
232,1,3,610,8,GB60DAQT79258260151636,45337.08,2024-02-21,NULL
233,3,2,154,12,GB03UCLD71986412506416,44759.82,2019-09-19,NULL
234,3,1,1070,2,GB19ZPYR99809849713545,18024.05,2021-06-22,NULL
235,3,2,554,5,GB79TWFN97154465275667,5464.27,2017-03-03,NULL
236,2,3,853,2,GB16VWRD12420025159658,28436.55,2018-07-19,NULL
237,2,3,110,7,GB05NJEB38401016697635,15879.07,2018-02-15,NULL
238,1,3,884,11,GB36BTTP51995004111784,4114.68,2020-12-04,NULL
239,5,1,30,11,GB53YFZF11631393211300,39298.39,2016-11-17,NULL
240,2,3,1127,8,GB31LNVW17968326326073,21958.51,2020-05-21,NULL
241,1,3,458,12,GB56HBZX15454086098732,49041.73,2025-03-06,NULL
242,5,1,267,5,GB57SNGI09783479509163,3690.48,2022-03-12,NULL
243,2,1,352,2,GB98EAIA93541741260799,29022.08,2021-09-29,NULL
244,3,3,1137,6,GB59BPWX67603341430474,628.55,2020-08-17,NULL
245,4,3,413,11,GB56OUQW23206213885601,5516.85,2021-01-04,NULL
246,3,3,87,7,GB85APMH52075826585661,44219.38,2016-09-17,NULL
247,5,1,999,4,GB62XVIR57319626369071,33078.74,2024-11-29,NULL
248,2,1,769,6,GB86DITB80416876262157,10776.82,2021-07-09,NULL
249,1,3,554,3,GB03MSGD43746786236270,14764.59,2018-03-29,NULL
250,2,3,686,12,GB92TFXV30136578359931,2676.09,2019-03-29,NULL
251,4,1,796,4,GB26WNKB64300160216975,25430.68,2016-08-13,NULL
252,3,1,218,3,GB76IWLZ77761081643188,32118.27,2021-10-27,NULL
253,5,1,136,2,GB65SBHH98714480586517,16101.5,2018-07-18,NULL
254,4,3,542,6,GB20URLR93060263130846,33534.05,2018-03-13,NULL
255,4,3,506,9,GB43OXQC33998419102082,33567.0,2018-10-29,NULL
256,5,1,57,12,GB38BEDG18843099813810,43986.42,2020-03-26,NULL
257,5,3,887,4,GB39ISAT26275982472050,8475.15,2024-05-20,NULL
258,4,3,301,12,GB82FHZZ98647181291103,10098.28,2021-01-31,NULL
259,5,2,609,7,GB36UBQG56820963163182,1469.0,2025-03-21,NULL
260,3,3,945,11,GB95RQSB33484138270102,22255.1,2022-09-05,NULL
261,1,2,746,7,GB08WWFJ36604098306801,14337.03,2025-07-21,NULL
262,5,1,1155,11,GB85HKZT79660126689580,46856.92,2020-03-06,NULL
263,1,1,245,6,GB43EFVD80070208011298,35822.33,2016-02-28,NULL
264,1,3,350,11,GB34JLFA53066545526347,3009.94,2022-10-28,NULL
265,2,2,1,7,GB18RFRF75324449359119,44800.87,2021-11-21,NULL
266,5,3,72,5,GB50RBVR34534712313329,19056.73,2018-04-03,NULL
267,3,3,355,4,GB97UAFO41816056749048,6552.03,2023-05-08,NULL
268,2,1,1093,5,GB96BTBT03371701478603,12188.4,2021-07-12,NULL
269,3,3,837,5,GB11CJOP34007281224617,39605.78,2024-06-29,NULL
270,1,3,1157,9,GB16SBNT15012463736603,24575.67,2017-03-16,NULL
271,4,1,574,9,GB04FETX40117526111536,15641.6,2022-10-29,NULL
272,2,3,383,1,GB34XNKP27658298266570,41301.92,2018-07-30,NULL
273,3,2,322,2,GB14XUWA97427773096285,28162.91,2022-12-15,NULL
274,5,2,1001,3,GB45WACM94543393478391,19183.07,2023-08-19,NULL
275,2,2,686,12,GB94HNGW74620280288176,32954.35,2019-02-19,NULL
276,5,2,714,11,GB83AMCT60042195972113,20043.87,2022-12-12,NULL
277,3,2,725,2,GB42WUUJ15617543328853,929.67,2017-10-31,NULL
278,5,1,155,2,GB34DNSU01414101227282,29384.35,2017-10-20,NULL
279,3,1,794,2,GB18QLYQ16784799000269,9248.99,2021-10-12,NULL
280,3,3,486,3,GB81BCPH40152920230935,25562.71,2025-07-19,NULL
281,5,2,129,9,GB80KCSY61269697009915,35843.24,2020-07-31,NULL
282,5,3,171,9,GB95MNOO09376378485189,32666.45,2019-03-20,NULL
283,4,2,106,9,GB78KMRC93204686104995,36791.91,2022-10-24,NULL
284,4,3,338,2,GB31ZHIT78160985716329,8211.98,2024-07-01,NULL
285,1,1,165,2,GB07GFSU76344242559868,14170.79,2021-09-07,NULL
286,3,1,374,2,GB63NWMH99822436704522,48938.05,2022-06-29,NULL
287,2,1,295,10,GB70GNYS64448618409256,11810.66,2018-06-27,NULL
288,1,2,1046,10,GB73IBXN70152321894610,29830.75,2020-05-03,NULL
289,1,3,45,7,GB30ZTXE95814832918222,16744.28,2018-01-26,NULL
290,3,2,65,4,GB16VSED38014874998278,38601.41,2019-09-11,NULL
291,1,2,623,12,GB95YTQR34935336566903,24088.42,2016-04-18,NULL
292,1,2,352,4,GB84AKNA73851839417998,32092.83,2016-06-19,NULL
293,2,2,205,4,GB03MGQR21435151290985,43955.05,2022-10-20,NULL
294,3,1,471,7,GB73UWFN82282102739644,7642.39,2018-09-27,NULL
295,1,3,1051,3,GB18ZNAL09683502002805,29533.51,2020-09-20,NULL
296,5,1,69,4,GB65OIWC12372367703537,3470.83,2024-05-16,NULL
297,3,1,964,1,GB64XXPC05861528677591,40429.28,2020-09-29,NULL
298,4,1,310,11,GB11IJCZ11173058709853,43043.48,2022-10-30,NULL
299,4,3,362,12,GB35PRGC45904535391540,29334.06,2023-02-06,NULL
300,2,1,807,6,GB03EQBI63563338933201,18356.86,2021-05-26,NULL
301,1,3,68,2,GB65VWJD46135996357840,35607.13,2021-06-04,NULL
302,5,1,383,8,GB50LIYH96982359223401,29014.53,2020-02-11,NULL
303,5,3,908,3,GB57PHHU55732434159503,129.22,2018-05-05,NULL
304,3,3,92,1,GB05XTBM66058595332317,13320.76,2024-02-10,NULL
305,2,1,843,8,GB28KICP99724500610835,18093.8,2023-10-03,NULL
306,2,2,610,9,GB68LLMR48329168691805,5208.52,2025-06-17,NULL
307,4,2,308,11,GB73BOOS87863153895400,48999.11,2016-05-13,NULL
308,5,2,1094,11,GB61VYNG49954489023696,26801.79,2019-08-12,NULL
309,3,2,438,10,GB04HKFK78031712884027,26337.17,2018-06-19,NULL
310,5,1,522,2,GB53HSWF99507633069009,28604.1,2016-01-27,NULL
311,3,2,716,10,GB83CAXI97912889472359,44660.61,2018-12-11,NULL
312,3,1,739,12,GB88PKRF99694646356115,34928.92,2024-04-04,NULL
313,1,2,740,10,GB83FURI88339411922125,10395.19,2024-08-20,NULL
314,5,1,862,10,GB79YEAS99297669046677,32349.91,2023-04-10,NULL
315,2,1,1133,7,GB31EAPD51969672205524,46669.68,2015-09-11,NULL
316,1,3,1115,10,GB70JNGD61752866103454,6339.74,2025-04-04,NULL
317,5,3,1106,11,GB42KOUR37539175697026,13536.94,2016-03-24,NULL
318,2,1,752,5,GB55KHAE03151267943873,25840.04,2022-01-27,NULL
319,3,1,23,1,GB66LYGZ49670887217837,47647.77,2021-06-28,NULL
320,4,2,222,3,GB30MVEN68097698392939,44480.55,2016-01-27,NULL
321,5,1,799,8,GB47WJGJ20746655886035,12686.36,2022-01-03,NULL
322,5,2,1176,5,GB95ITLC26818396819575,34426.43,2020-07-10,NULL
323,3,3,584,10,GB52UXWJ32858649079842,27037.1,2020-12-29,NULL
324,2,2,307,11,GB11YUCO26946737754104,48116.28,2015-08-27,NULL
325,4,1,574,2,GB68KKLM79521208895372,33832.99,2016-04-16,NULL
326,2,1,808,4,GB85OXET71629410837327,13734.0,2016-03-02,NULL
327,4,1,620,6,GB78EZYM60149675116926,19335.25,2024-10-21,NULL
328,2,3,271,9,GB06NELE84656539510970,39868.89,2020-08-05,NULL
329,2,2,477,10,GB60KSHM37870618124988,47260.38,2016-10-31,NULL
330,1,1,75,1,GB91SHMX18703974201264,13964.38,2022-05-16,NULL
331,5,2,582,9,GB09EEFW59284197840158,32692.48,2025-04-13,NULL
332,4,3,387,10,GB28PVIS49802772449093,18453.65,2017-10-13,NULL
333,3,3,327,6,GB64UXXO87154293698887,38267.15,2021-03-23,NULL
334,2,1,569,12,GB57QUFO95221645434366,4150.45,2019-12-29,NULL
335,5,3,223,7,GB53RPDH83559179999595,3581.09,2019-08-24,NULL
336,4,2,1157,2,GB70XZFE62388361154106,32118.43,2019-05-16,NULL
337,2,1,138,4,GB64OFKQ17971373396702,3039.86,2019-07-13,NULL
338,4,2,1045,5,GB95NOXW95893271150970,36140.76,2023-06-24,NULL
339,2,3,113,10,GB68PWEG85558038234243,453.27,2021-05-07,NULL
340,4,3,573,9,GB02PQDY21111706134264,2812.21,2018-05-24,NULL
341,1,2,194,4,GB08BGNI30111058984050,16710.2,2021-12-24,NULL
342,4,3,268,10,GB71LISZ50653439904619,24138.52,2018-07-05,NULL
343,5,3,717,8,GB26JYRX21073710737364,47893.33,2015-09-28,NULL
344,3,2,105,5,GB27GDDP61777259738510,4340.85,2018-02-04,NULL
345,1,3,348,11,GB90CZRL76341714964890,10711.69,2020-11-22,NULL
346,2,2,320,2,GB41CCXG91450572988624,42092.53,2018-09-15,NULL
347,1,2,147,10,GB98ZQFG50833126356456,22154.01,2019-11-20,NULL
348,1,1,646,12,GB94YGIV96365082848356,15789.05,2022-11-15,NULL
349,2,3,397,11,GB13BFKO72222361958513,41865.27,2020-11-10,NULL
350,3,2,45,11,GB40DCHB06938712714617,3582.93,2020-09-21,NULL
351,5,3,319,1,GB28LFBE68512139680716,27793.0,2019-01-15,NULL
352,4,1,811,5,GB05EKSQ35783199904383,32415.11,2019-08-31,NULL
353,1,3,793,8,GB83IBVX14720122597414,22502.62,2017-04-27,NULL
354,3,2,117,2,GB89FFWX22433818863832,19263.47,2018-09-13,NULL
